S_0,expEuler,impEuler,CN,ADE,BT
0.915709,49.0843,49.0843,49.0843,49.0892,49.0843
0.923077,49.0769,49.0769,49.0769,49.0819,49.0769
0.930502,49.0695,49.0695,49.0695,49.0745,49.0695
0.937984,49.062,49.062,49.062,49.0671,49.062
0.945525,49.0545,49.0545,49.0545,49.0596,49.0545
0.953125,49.0469,49.0469,49.0469,49.0521,49.0469
0.960784,49.0392,49.0392,49.0392,49.0445,49.0392
0.968504,49.0315,49.0315,49.0315,49.0368,49.0315
0.976285,49.0237,49.0237,49.0237,49.0291,49.0237
0.984127,49.0159,49.0159,49.0159,49.0213,49.0159
0.992032,49.008,49.008,49.008,49.0135,49.008
1,49,49,49,49.0056,49
1.00803,48.992,48.992,48.992,48.9976,48.992
1.01613,48.9839,48.9839,48.9839,48.9895,48.9839
1.02429,48.9757,48.9757,48.9757,48.9814,48.9757
1.03252,48.9675,48.9675,48.9675,48.9733,48.9675
1.04082,48.9592,48.9592,48.9592,48.965,48.9592
1.04918,48.9508,48.9508,48.9508,48.9567,48.9508
1.05761,48.9424,48.9424,48.9424,48.9484,48.9424
1.06612,48.9339,48.9339,48.9339,48.9399,48.9339
1.07469,48.9253,48.9253,48.9253,48.9314,48.9253
1.08333,48.9167,48.9167,48.9167,48.9228,48.9167
1.09205,48.9079,48.9079,48.9079,48.9142,48.9079
1.10084,48.8992,48.8992,48.8992,48.9055,48.8992
1.1097,48.8903,48.8903,48.8903,48.8967,48.8903
1.11864,48.8814,48.8814,48.8814,48.8878,48.8814
1.12766,48.8723,48.8723,48.8723,48.8789,48.8723
1.13675,48.8632,48.8632,48.8632,48.8698,48.8632
1.14592,48.8541,48.8541,48.8541,48.8607,48.8541
1.15517,48.8448,48.8448,48.8448,48.8516,48.8448
1.1645,48.8355,48.8355,48.8355,48.8423,48.8355
1.17391,48.8261,48.8261,48.8261,48.833,48.8261
1.18341,48.8166,48.8166,48.8166,48.8235,48.8166
1.19298,48.807,48.807,48.807,48.814,48.807
1.20264,48.7974,48.7974,48.7974,48.8044,48.7974
1.21239,48.7876,48.7876,48.7876,48.7948,48.7876
1.22222,48.7778,48.7778,48.7778,48.785,48.7778
1.23214,48.7679,48.7679,48.7679,48.7752,48.7679
1.24215,48.7578,48.7578,48.7578,48.7652,48.7578
1.25225,48.7477,48.7477,48.7477,48.7552,48.7477
1.26244,48.7376,48.7376,48.7376,48.7451,48.7376
1.27273,48.7273,48.7273,48.7273,48.7349,48.7273
1.28311,48.7169,48.7169,48.7169,48.7246,48.7169
1.29358,48.7064,48.7064,48.7064,48.7142,48.7064
1.30415,48.6959,48.6959,48.6959,48.7037,48.6959
1.31481,48.6852,48.6852,48.6852,48.6932,48.6852
1.32558,48.6744,48.6744,48.6744,48.6825,48.6744
1.33645,48.6636,48.6636,48.6636,48.6717,48.6636
1.34742,48.6526,48.6526,48.6526,48.6608,48.6526
1.35849,48.6415,48.6415,48.6415,48.6498,48.6415
1.36967,48.6303,48.6303,48.6303,48.6388,48.6303
1.38095,48.619,48.619,48.619,48.6276,48.619
1.39234,48.6077,48.6077,48.6077,48.6163,48.6077
1.40385,48.5962,48.5962,48.5962,48.6049,48.5962
1.41546,48.5845,48.5845,48.5845,48.5933,48.5845
1.42718,48.5728,48.5728,48.5728,48.5817,48.5728
1.43902,48.561,48.561,48.561,48.57,48.561
1.45098,48.549,48.549,48.549,48.5581,48.549
1.46305,48.5369,48.5369,48.5369,48.5461,48.5369
1.47525,48.5248,48.5248,48.5248,48.534,48.5248
1.48756,48.5124,48.5124,48.5124,48.5218,48.5124
1.5,48.5,48.5,48.5,48.5095,48.5
1.51256,48.4874,48.4874,48.4874,48.497,48.4874
1.52525,48.4747,48.4747,48.4747,48.4845,48.4747
1.53807,48.4619,48.4619,48.4619,48.4718,48.4619
1.55102,48.449,48.449,48.449,48.4589,48.449
1.5641,48.4359,48.4359,48.4359,48.446,48.4359
1.57732,48.4227,48.4227,48.4227,48.4328,48.4227
1.59067,48.4093,48.4093,48.4093,48.4196,48.4093
1.60417,48.3958,48.3958,48.3958,48.4062,48.3958
1.6178,48.3822,48.3822,48.3822,48.3927,48.3822
1.63158,48.3684,48.3684,48.3684,48.3791,48.3684
1.6455,48.3545,48.3545,48.3545,48.3653,48.3545
1.65957,48.3404,48.3404,48.3404,48.3513,48.3404
1.6738,48.3262,48.3262,48.3262,48.3372,48.3262
1.68817,48.3118,48.3118,48.3118,48.323,48.3118
1.7027,48.2973,48.2973,48.2973,48.3086,48.2973
1.71739,48.2826,48.2826,48.2826,48.294,48.2826
1.73224,48.2678,48.2678,48.2678,48.2793,48.2678
1.74725,48.2527,48.2527,48.2527,48.2644,48.2527
1.76243,48.2376,48.2376,48.2376,48.2494,48.2376
1.77778,48.2222,48.2222,48.2222,48.2342,48.2222
1.7933,48.2067,48.2067,48.2067,48.2188,48.2067
1.80899,48.191,48.191,48.191,48.2033,48.191
1.82486,48.1751,48.1751,48.1751,48.1875,48.1751
1.84091,48.1591,48.1591,48.1591,48.1716,48.1591
1.85714,48.1429,48.1429,48.1429,48.1555,48.1429
1.87356,48.1264,48.1264,48.1264,48.1393,48.1264
1.89017,48.1098,48.1098,48.1098,48.1228,48.1098
1.90698,48.093,48.093,48.093,48.1062,48.093
1.92398,48.076,48.076,48.076,48.0893,48.076
1.94118,48.0588,48.0588,48.0588,48.0723,48.0588
1.95858,48.0414,48.0414,48.0414,48.0551,48.0414
1.97619,48.0238,48.0238,48.0238,48.0376,48.0238
1.99401,48.006,48.006,48.006,48.02,48.006
2.01205,47.988,47.988,47.988,48.0021,47.988
2.0303,47.9697,47.9697,47.9697,47.984,47.9697
2.04878,47.9512,47.9512,47.9512,47.9657,47.9512
2.06748,47.9325,47.9325,47.9325,47.9472,47.9325
2.08642,47.9136,47.9136,47.9136,47.9285,47.9136
2.10559,47.8944,47.8944,47.8944,47.9095,47.8944
2.125,47.875,47.875,47.875,47.8903,47.875
2.14465,47.8553,47.8553,47.8553,47.8708,47.8553
2.16456,47.8354,47.8354,47.8354,47.8511,47.8354
2.18471,47.8153,47.8153,47.8153,47.8312,47.8153
2.20513,47.7949,47.7949,47.7949,47.811,47.7949
